id,prix
1000001,/1;999/2;1269/6;1289
1000002,/1;999/2;1269/6;1289
1000004,/1;1140/2;1370/4;850
1000005,/1;1140/2;1370/4;850
1000006,/1;1009/2;1275/6;1295
1000007,/1;999/2;1269/5;1222/6;1289
1000008,/1;999/2;1269/5;1222/6;1289
1000009,/1;999/2;1269/5;1222/6;1289
1000010,/1;999/2;1269/5;1222/6;1289
1000012,/1;1110/5;1290/6;1390
1000013,/1;999/5;1222/6;1294
1090001,/1;996/2;1265/6;1295
1100001,/1;1019/2;1279/4;740/5;1209
1100002,/1;999/2;1279/6;1304
1100003,/1;999/2;1279/6;1304
1100004,/1;1085/2;1344/6;1372
1100006,/1;999/2;1265
1100007,/1;1079/3;709/4;769/5;1292/6;1392
1110001,/1;1015/2;1275/6;1295
1120002,/1;1015/2;1275/6;1295
1120003,/1;1015/2;1275/6;1295
1120004,/1;984/5;1215/6;1299
1120005,/1;984/2;1254/5;1215/6;1299
1120006,/1;1110/5;1320/6;1420
1120007,/1;1164/5;1369/6;1449
1120008,/1;1139/5;1359/6;1459
1130001,/1;1139/5;1359/6;1459
1130002,/1;1061/2;1329/6;1355
1130003,/1;995/5;1219/6;1297
1140001,/1;1039/2;1299/6;1349
1150001,/1;982/2;1242/6;1312
1150002,/1;1074/5;1299/6;1339
1160001,/1;1074/5;1299/6;1339
1160002,/1;1010/2;1270/5;1200/6;1290
1160003,/1;985/2;1245/5;1199
1160005,/1;994/5;1202
1170001,/1;995/2;1255/6;1300
1170002,/1;1019/2;1279/6;1309
1170003,/1;1000/2;1270/6;1280
1170005,/1;1079/2;1333/6;1359
1190001,/1;1025/2;1268/6;1297
1200001,/1;1020/2;1290/6;1319
1200003,/1;999/2;1260/5;1230/6;1295
1200004,/1;999/2;1260/5;1230/6;1295
1210001,/1;999/2;1260/6;1300
1210002,/1;1102/5;1323/6;1423
1210003,/1;995/2;1255/3;685/5;1200
1220001,/1;1026/2;1282/6;1305
1230002,/1;1110/2;1360/6;1380
1230003,/1;1090/2;1350
1240001,/1;1150/2;1350
1250001,/1;1150/2;1350
1250002,/1;1180/4;840/5;1390
1250004,/1;1069/2;1339/5;1339/6;1369
1250005,/1;1144/4;829/5;1364/6;1464
1270002,/1;1144/4;829/5;1364/6;1464
1290001,/1;990/2;1260/6;1290
1300001,/1;998/2;1298/6;1338
1300002,/1;1043/2;1315
1300003,/1;999/2;1267/6;1289
1310001,/1;1075/5;1312/6;1412
1310003,/1;1015/2;1279/6;1339
1320001,/1;1140/2;1410
1320002,/1;1029/2;1275/5;1235
1330001,/1;1149/2;1369/6;1429
1330002,/1;999/2;1269/5;1229/6;1319
1340001,/1;1011/2;1281/6;1302
1340002,/1;1172/5;1345/6;1425
1340003,/1;998/2;1268/6;1288
1340004,/1;1119/2;1383/3;799
1350001,/1;990/2;1295/6;1328
1350003,/1;1042/2;1295/6;1328
1360002,/1;1199/2;1349/6;1419
1370001,/1;1089/2;1334/4;839/6;1379
1390001,/1;1032/2;1292/6;1322
1390002,/1;1089/5;1299/6;1399
1390004,/1;1089/5;1299/6;1399
1390006,/1;1089/5;1299/6;1399
1390007,/1;1199/4;829/5;1399/6;1479
1390008,/1;1179/4;829/5;1389/6;1479
1400001,/1;999/2;1262/5;1323/6;1302
1400003,/1;1213/2;1453
1400005,/1;989/2;1259/5;1221/6;1299
1430001,/1;989/2;1259/5;1221/6;1299
1430003,/1;1164/3;1500/4;829/5;1374/6;1479
1430004,/1;1118/2;1392/5;1354
1430005,/1;1154/2;1499/4;829/5;1374/6;1474
1440001,/1;1120/2;1360
1440002,/1;1089/5;1302/6;1402
1440003,/1;1059/2;1329/6;1359
1460001,/1;998/2;1268/6;1300
1460002,/1;1160/2;1400
1460003,/1;1005/2;1265/5;1219/6;1295
1470001,/1;1005/2;1265/5;1219/6;1295
1470002,/1;1005/5;1221/6;1287
1480001,/1;998/2;1292/6;1339
1500001,/1;982/2;1242/6;1312
1500003,/1;1140/2;1390
1500004,/1;1140/2;1410/6;1470
1500006,/1;1140/2;1390
1500007,/1;979/2;1239/3;759/4;709/5;1199
1510001,/1;990/2;1295/6;1328
1510002,/1;1100/2;1350/6;1390
1540001,/1;1011/2;1260/6;1314
1540002,/1;1011/2;1260/5;1238
1560000,/1;1024/2;1267/6;1296
1570001,/1;999/2;1265
1590001,/1;1089/2;1344/6;1372
1590002,/1;1009/2;1262/5;1245
1600001,/1;1001/2;1271/6;1322
1600002,/1;991/2;1257/6;1302
1600003,/1;997/2;1258/6;1283
1630001,/1;1079/2;1325
1630003,/1;995/3;739/5;1200/6;1280
1630004,/1;995/5;1200/6;1280
1640001,/1;1159/2;1399
1700003,/1;994/5;1234/6;1307
1700004,/1;984/2;1254/4;639/5;1215/6;1299
1710001,/1;995/2;1255/6;1300
1750001,/1;995/2;1259/5;1218
1800001,/1;987/2;1257/6;1319
1800002,/1;1180/2;1450
1800003,/1;999/2;1250/5;1210/6;1286
1960001,/1;999/2;1269/6;1289
1960003,/1;999/2;1269/6;1289
1960004,/1;1049/4;799/5;1294/6;1359
1980001,/1;1063/2;1332
2000002,/1;1026/2;1279/6;1287
2000003,/1;1039/2;1309/6;1359
2000004,/1;1039/2;1309/6;1359
2000005,/1;1075/5;1294/6;1394
2000007,/1;1031/5;1235/6;1295
2000008,/1;1026/3;450/4;831/5;1225/6;1319
2000009,/1;1026/2;1279/5;1225
2000010,/1;1040/2;1304/6;1331
2100001,/1;1004/2;1265/3;689/4;689/6;1292
2100003,/1;1004/2;1265/3;689/4;689/6;1292
2100006,/1;1004/2;1265/3;689/4;689/6;1292
2100008,/1;1003/5;1281/6;1339
2100009,/1;998/3;450/4;690/5;1198/6;1279
2100011,/1;1005/5;1232/6;1302
2100012,/1;992/2;1256/4;720/5;1209/6;1281
2100013,/1;1004/2;1271/4;800/5;1231
2100014,/1;1004/2;1271/4;800/5;1231
2100017,/1;1039/2;1294/6;1305
2100018,/1;1089/2;1368/6;1426
2100019,/1;999/2;1256/3;659/6;1281
2100020,/1;1005/5;1223/6;1319
2110001,/1;1090/6;1400
2110002,/1;1019/2;1299/5;1259
2110003,/1;1019/2;1299/6;1319
2120002,/1;1019/2;1299/6;1319
2120003,/1;1009/2;1259/6;1295
2120004,/1;999/2;1259/4;729/6;1295
2130001,/1;999/2;1279/6;1289
2130003,/1;999/2;1279/6;1289
2130004,/1;999/2;1279/6;1289
2130005,/1;1259/4;840/5;1429/6;1499
2130006,/1;1194/4;797/5;1389/6;1469
2140002,/1;1005/2;1270/6;1334
2140003,/1;993/2;1253/6;1280
2140004,/1;993/2;1253/6;1280
2170001,/1;1029/2;1329/6;1349
2190001,/1;1029/2;1329/6;1349
2190002,/1;1029/2;1329/6;1349
2190003,/1;1164/4;797/5;1374/6;1454
2190004,/1;1029/2;1259/6;1299
2190005,/1;1164/4;797/5;1374/6;1454
2200001,/1;990/4;756/5;1227/6;1293
2200002,/1;990/4;756/5;1227/6;1293
2200004,/1;990/4;756/5;1227/6;1293
2200005,/1;990/4;756/5;1227/6;1293
2200006,/1;990/4;756/5;1227/6;1293
2200007,/1;990/5;1223/6;1303
2200008,/1;990/5;1230/6;1303
2200010,/1;990/2;1259/3;709/6;1293
2200011,/1;993/2;1262/6;1308
2200012,/1;990/2;1259/6;1293
2200013,/1;1075/5;1294/6;1394
2200014,/1;1075/5;1304/6;1404
2200015,/1;992/3;689/4;759/5;1225/6;1303
2210001,/1;1180/5;1400/6;1480
2220001,/1;1009/2;1279/6;1309
2230001,/1;1007/2;1275/6;1299
2240001,/1;989/2;1249/5;1209
2240002,/1;1070/5;1290/6;1390
2250001,/1;1019/2;1309/6;1349
2250002,/1;1080/5;1300/6;1400
2250003,/1;1080/5;1300/6;1400
2260001,/1;1039/2;1309/6;1329
2280001,/1;1026/5;1219/6;1287
2290001,/1;1120/5;1350/6;1400
2300001,/1;996/4;745/5;1229/6;1309
2300002,/1;1016/2;1279/6;1317
2300003,/1;1016/2;1279/6;1317
2300005,/1;1016/2;1279/6;1317
2300006,/1;995/2;1279/4;745/5;1229
2300008,/1;1035/2;1315/6;1330
2310001,/1;989/2;1249/6;1279
2310002,/1;1049/2;1313/6;1343
2320001,/1;1029/2;1279/6;1299
2320002,/1;1025/2;1279/5;1235/6;1289
2340001,/1;1042/2;1290/6;1338
2360001,/1;1042/2;1290/6;1316
2370003,/1;1030/2;1280/6;1310
2380001,/1;1030/2;1280/6;1310
2380002,/1;989/5;1225/6;1309
2390002,/1;1039/2;1299/6;1329
2400001,/1;975/2;1249/5;1173/6;1279
2400002,/1;975/2;1249/5;1173/6;1279
2400004,/1;975/2;1249/5;1173
2400005,/1;998/2;1269/4;752/6;1297
2400007,/1;995/2;1259/6;1309
2400008,/1;1149/5;1322/6;1399
2420001,/1;1220/2;1490
2430001,/1;998/2;1265/4;691/5;1222
2450002,/1;1019/2;1299/6;1329
2460001,/1;985/2;1249/4;723/6;1279
2500001,/1;1005/2;1265/4;710/6;1299
2500002,/1;1005/2;1265/4;710/6;1299
2500003,/1;990/5;1215/6;1290
2500004,/1;999/5;1222/6;1308
2600001,/1;992/2;1262/3;635/6;1314
2600003,/1;1075/2;1374
2600004,/1;1145/2;1380/6;1408
2600005,/1;1082/2;1372/6;1419
2603001,/1;989/2;1259/3;599/5;1189
2690001,/1;989/2;1259/3;599/5;1189
2690002,/1;1154/4;829/5;1364/6;1464
2700001,/1;1085/5;1304/6;1404
2700002,/1;1125/2;1385/6;1429
2800001,/1;1125/2;1385/6;1429
2800002,/1;1125/2;1385/6;1429
2800003,/1;1016/2;1279/4;745/5;1229/6;1309
2800004,/1;1020/2;1299/6;1319
2860001,/1;1097/5;1314/6;1414
2880001,/1;989/2;1249/4;799/5;1209/6;1309
3000001,/1;1000/2;1260/5;1200
3000002,/1;1114/5;1332/6;1432
3000003,/1;1000/2;1260/4;720/5;1200
3000004,/1;1105/5;1322/6;1422
3000005,/1;996/5;1217/6;1276
3000006,/1;1000/4;720/5;1200/6;1290
3100001,/1;1019/2;1265/5;1222/6;1299
3100002,/1;1119/5;1322/6;1422
3100004,/1;1119/5;1322/6;1422
3100005,/1;1019/2;1265/6;1299
3100006,/1;1164/4;797/5;1384/6;1464
3100007,/1;1019/2;1265/6;1299
3100008,/1;1019/2;1265/5;1222/6;1299
3100009,/1;1099/5;1317/6;1363
3100010,/1;1019/2;1265/6;1299
3100011,/1;1114/2;1402/5;1309
3110001,/1;1114/5;1312
3110003,/1;1110/2;1370/6;1390
3120001,/1;1007/2;1330/6;1360
3120002,/1;1021/2;1291/6;1368
3120003,/1;1021/2;1291/5;1281/6;1368
3120004,/1;1007/5;1259/6;1349
3120005,/1;1050/2;1330/6;1350
3130002,/1;1130/2;1380/6;1400
3150001,/1;1114/5;1312/6;1412
3150002,/1;1114/5;1312/6;1412
3150004,/1;1029/2;1305/6;1320
3150005,/1;1009/2;1279/6;1315
3150006,/1;1170/2;1420/6;1460
3160001,/1;1033/2;1293/6;1333
3170001,/1;1164/4;797/5;1384/6;1464
3190003,/1;1079/2;1335/6;1365
3200002,/1;1114/5;1312/6;1412
3200003,/1;1109/5;1332/6;1432
3200005,/1;1000/4;750/5;1284/6;1368
3210001,/1;1019/2;1279/5;1241
3240002,/1;1109/5;1317/6;1417
3250002,/1;1029/2;1303
3260001,/1;1064/2;1359
3270001,/1;1021/2;1291/6;1371
3286001,/1;1120/5;1350/6;1430
3290001,/1;1039/2;1286/6;1311
3290002,/1;1028/2;1285/6;1315
3300001,/1;1021/2;1295/6;1371
3300002,/1;1114/5;1312/6;1412
3300003,/1;1000/2;1284/6;1368
3310001,/1;1000/2;1284/6;1368
3310002,/1;1038/2;1288/6;1319
3320001,/1;1040/2;1306/6;1336
3350001,/1;1080/2;1340
3360001,/1;1000/2;1250/5;1250
3380001,/1;1130/5;1340/6;1440
3380002,/1;1058/2;1324/6;1349
3390002,/1;1058/2;1324/6;1349
3390003,/1;1029/2;1289/6;1319
3400001,/1;1007/4;730/5;1215/6;1312
3400002,/1;1000/2;1263/6;1333
3400003,/1;1113/2;1349/6;1399
3410001,/1;1019/2;1265/4;790/5;1222/6;1299
3410003,/1;1019/2;1265/4;790/5;1222/6;1299
3410004,/1;1139/2;1377/6;1397
3410005,/1;1059/2;1325/6;1349
3410007,/1;1029/5;1239/6;1339
3410008,/1;1019/2;1265/4;790/5;1222/6;1299
3410009,/1;1019/2;1265/5;1222/6;1299
3430001,/1;1029/2;1283/6;1301
3450001,/1;1089/2;1346/6;1389
3500001,/1;1089/2;1346/6;1389
3500002,/1;999/2;1269/6;1368
3500003,/1;1114/5;1307/6;1407
3500004,/1;1179/2;1429/6;1469
3500005,/1;999/2;1269/5;1229
3600001,/1;1024/2;1285/6;1319
3600003,/1;1024/2;1285/5;1271/6;1319
3630001,/1;1022/2;1268/6;1302
3630002,/1;1022/2;1268/6;1302
3630003,/1;1024/5;1222/6;1309
3700002,/1;1114/4;730/5;1312/6;1412
3700004,/1;1000/2;1284/6;1368
3800001,/1;1000/2;1269/6;1320
3800003,/1;1039/5;1269/6;1322
3800004,/1;1114/5;1312/6;1412
3800005,/1;1114/5;1312/6;1412
3800006,/1;1009/2;1269/4;752/6;1322
4000001,/1;976/2;1265/4;770/6;1336
4000003,/1;976/5;1192/6;1336
4000004,/1;976/2;1265/4;869/5;1171
4100001,/1;1019/2;1299/5;1219
4100002,/1;965/2;1230/4;799/5;1154/6;1263
4100003,/1;965/2;1230/4;799/5;1154/6;1263
4100007,/1;965/3;750/4;759/5;1154/6;1263
4100008,/1;965/3;750/4;759/5;1154/6;1263
4100009,/1;1039/2;1289/6;1349
4100010,/1;1085/5;1284/6;1384
4100011,/1;965/3;693/4;759/5;1172/6;1263
4103001,/1;967/2;1276/5;1163/6;1265
4120002,/1;1099/2;1340
4120003,/1;1060/5;1260/6;1350
